Symbol, Name, Max Price, Max Price on, Least Price, Least Price on, Price on P-2M before, Date on P-2M before, Latest Close Price, P/E Ratio,  % Up from Low,  % Down from Max,  % Change from last P-2M
540611, AUBANK      , 1437.05, 2022-04-21, 1065.15, 2022-03-07, 1241.7, 2022-03-24, 1358.15, 45.0, 27.51, 5.49, 9.38
541988, AAVAS       , 2844.2, 2022-03-03, 2163.3, 2022-03-28, 2259.35, 2022-03-24, 2340.0, 57.18, 8.17, 17.73, 3.57
542752, AFFLE       , 1287.45, 2022-04-11, 1147.9, 2022-03-07, 1219.0, 2022-03-24, 1198.2, 76.71, 4.38, 6.93, -1.71
543367, PARAS       , 740.85, 2022-04-08, 620.15, 2022-03-07, 668.7, 2022-03-24, 705.0, 0.0, 13.68, 4.84, 5.43
541269, CHEMFABALKA , 251.3, 2022-04-01, 169.0, 2022-03-07, 205.2, 2022-03-24, 233.0, 81.21, 37.87, 7.28, 13.55
519136, NAHAR INDUST, 225.5, 2022-04-18, 144.7, 2022-03-07, 176.0, 2022-03-24, 215.8, 5.43, 49.14, 4.3, 22.61
532375, TIPSINDUSTR , 2348.9, 2022-03-24, 1903.95, 2022-04-22, 2348.9, 2022-03-24, 1867.35, 34.91, -1.92, 20.5, -20.5
522205, PRAJ IND.LTD, 428.6, 2022-04-13, 338.65, 2022-02-28, 375.8, 2022-03-24, 419.65, 53.41, 23.92, 2.09, 11.67
500875, ITC LTD.    , 270.45, 2022-04-18, 215.25, 2022-03-02, 254.85, 2022-03-24, 258.8, 21.54, 20.23, 4.31, 1.55
530073, SANGHVI MOVE, 206.0, 2022-04-13, 179.85, 2022-03-08, 192.5, 2022-03-24, 186.85, 43.41, 3.89, 9.3, -2.94
534076, RHIM        , 661.85, 2022-04-18, 489.8, 2022-03-07, 599.3, 2022-03-24, 632.85, 0.0, 29.21, 4.38, 5.6
502219, BORORENEW   , 780.15, 2022-04-22, 557.95, 2022-03-07, 599.5, 2022-03-24, 803.8, 56.04, 44.06, -3.03, 34.08
533339, ZEN TECH    , 214.0, 2022-04-07, 191.95, 2022-03-07, 195.6, 2022-03-24, 201.1, 69344.83, 4.77, 6.03, 2.81
532842, SREE RAYALA , 506.15, 2022-03-16, 394.1, 2022-02-28, 473.3, 2022-03-24, 441.75, 9.6, 12.09, 12.72, -6.67
523301, TCPL PACK   , 929.95, 2022-04-18, 672.3, 2022-03-02, 693.4, 2022-03-24, 825.25, 17.56, 22.75, 11.26, 19.01
500243, KIRL INDUS  , 1650.6, 2022-03-17, 1314.05, 2022-03-07, 1558.9, 2022-03-24, 1600.0, 6.11, 21.76, 3.07, 2.64
505693, LATIMMETAL  , 218.3, 2022-04-11, 119.6, 2022-02-28, 204.2, 2022-03-24, 207.0, 10.19, 73.08, 5.18, 1.37
538902, DHUN TEAIND , 311.85, 2022-04-18, 231.3, 2022-03-07, 253.25, 2022-03-24, 305.65, 10.78, 32.14, 1.99, 20.69
543333, CARTRADE    , 652.9, 2022-04-22, 500.1, 2022-03-08, 622.7, 2022-03-24, 634.75, 0.0, 26.92, 2.78, 1.94
542684, PPL         , 184.85, 2022-04-13, 151.45, 2022-03-29, 159.45, 2022-03-24, 177.15, 9.8, 16.97, 4.17, 11.1
540403, CLEDUCATE   , 159.25, 2022-04-21, 113.3, 2022-03-02, 135.4, 2022-03-24, 150.0, 0.0, 32.39, 5.81, 10.78
542665, NEOGEN      , 1744.85, 2022-03-31, 1516.9, 2022-04-19, 1625.95, 2022-03-24, 1589.6, 96.99, 4.79, 8.9, -2.24
532343, TVS MOTOR L , 658.1, 2022-04-21, 529.35, 2022-03-07, 608.75, 2022-03-24, 647.3, 38.94, 22.28, 1.64, 6.33
500469, FEDERAL BANK, 102.5, 2022-04-04, 87.45, 2022-03-07, 98.1, 2022-03-24, 94.05, 10.24, 7.55, 8.24, -4.13
532144, WELCORP     , 216.15, 2022-04-21, 138.3, 2022-03-07, 153.8, 2022-03-24, 209.05, 11.79, 51.16, 3.28, 35.92
508906, EVEREST INDS, 771.9, 2022-03-23, 583.2, 2022-03-08, 737.1, 2022-03-24, 633.5, 19.7, 8.62, 17.93, -14.06
532539, MINDA IND   , 1044.1, 2022-03-17, 900.2, 2022-03-07, 995.25, 2022-03-24, 926.0, 77.83, 2.87, 11.31, -6.96
506414, FERMENTA    , 249.35, 2022-04-06, 205.35, 2022-03-29, 221.2, 2022-03-24, 227.0, 0.0, 10.54, 8.96, 2.62
500790, NESTLE (I)  , 18549.85, 2022-04-18, 16863.45, 2022-03-28, 17392.85, 2022-03-24, 17952.1, 80.98, 6.46, 3.22, 3.22
543280, NAZARA      , 1819.6, 2022-03-10, 1542.0, 2022-04-22, 1720.05, 2022-03-24, 1545.45, 0.0, 0.22, 15.07, -10.15
532976, JAIBALA IND , 60.5, 2022-04-22, 42.9, 2022-03-29, 45.65, 2022-03-24, 59.2, 10.68, 38.0, 2.15, 29.68
532777, INFO EDGE   , 4881.3, 2022-04-11, 4285.15, 2022-03-07, 4529.85, 2022-03-24, 4570.0, 4.77, 6.65, 6.38, 0.89
532733, SUN TVNET   , 527.35, 2022-04-11, 437.5, 2022-03-04, 469.65, 2022-03-24, 487.65, 11.18, 11.46, 7.53, 3.83
504112, NELCO LTD.  , 804.1, 2022-04-05, 587.7, 2022-03-07, 678.6, 2022-03-24, 718.05, 93.44, 22.18, 10.7, 5.81
532853, ASAHI SONG  , 332.7, 2022-04-18, 260.05, 2022-03-23, 302.3, 2022-03-24, 307.6, 18.13, 18.28, 7.54, 1.75
505720, HERC.HOISTS , 164.25, 2022-04-21, 132.2, 2022-03-07, 141.4, 2022-03-24, 160.05, 30.44, 21.07, 2.56, 13.19
530871, CHEMBOND CHM, 199.4, 2022-04-11, 169.85, 2022-03-07, 184.35, 2022-03-24, 188.4, 15.01, 10.92, 5.52, 2.2
500112, STATE BANK  , 517.5, 2022-04-13, 440.2, 2022-03-08, 487.0, 2022-03-24, 492.65, 13.76, 11.92, 4.8, 1.16
504036, HIND.RECT   , 222.7, 2022-04-08, 178.15, 2022-03-08, 191.0, 2022-03-24, 216.9, 50.95, 21.75, 2.6, 13.56
500034, BAJFINANCE  , 7488.65, 2022-04-04, 6122.55, 2022-03-07, 6998.15, 2022-03-24, 7010.0, 71.26, 14.49, 6.39, 0.17
538835, INTELLECT   , 970.85, 2022-04-06, 650.35, 2022-02-28, 849.6, 2022-03-24, 805.35, 33.22, 23.83, 17.05, -5.21
509488, GRAPHITE IN., 579.05, 2022-04-11, 466.45, 2022-02-28, 514.05, 2022-03-24, 537.65, 22.18, 15.26, 7.15, 4.59
543321, TATVA       , 2496.25, 2022-04-21, 2123.9, 2022-03-10, 2275.05, 2022-03-24, 2498.6, 57.85, 17.64, -0.09, 9.83
540115, LTTS        , 5196.5, 2022-04-04, 4101.25, 2022-04-22, 5037.85, 2022-03-24, 4037.95, 44.5, -1.54, 22.29, -19.85
513375, CARBORUNDUM , 814.2, 2022-04-05, 709.6, 2022-03-07, 764.05, 2022-03-24, 743.5, 38.51, 4.78, 8.68, -2.69
540679, SMSLIFE     , 874.95, 2022-04-11, 669.0, 2022-03-09, 756.95, 2022-03-24, 690.65, 9.82, 3.24, 21.06, -8.76
540750, IEX         , 246.3, 2022-04-06, 205.8, 2022-02-28, 233.6, 2022-03-24, 226.4, 71.86, 10.01, 8.08, -3.08
543227, HAPPSTMNDS  , 1159.45, 2022-03-17, 948.5, 2022-03-07, 1132.85, 2022-03-24, 1010.7, 88.69, 6.56, 12.83, -10.78
523754, MAHEPC      , 103.2, 2022-04-20, 85.65, 2022-03-29, 94.8, 2022-03-24, 100.0, 0.0, 16.75, 3.1, 5.49
500337, PRIME SECUR., 112.05, 2022-04-22, 89.4, 2022-03-23, 96.95, 2022-03-24, 110.5, 15.61, 23.6, 1.38, 13.98
532155, GAIL (I) LTD, 169.9, 2022-04-19, 143.45, 2022-03-22, 147.0, 2022-03-24, 161.2, 6.36, 12.37, 5.12, 9.66
524408, UNIV.STARCH , 158.0, 2022-04-22, 128.9, 2022-03-07, 146.0, 2022-03-24, 160.0, 0.0, 24.13, -1.27, 9.59
533121, EXPLEOSOL   , 1684.8, 2022-03-31, 1354.05, 2022-03-07, 1500.75, 2022-03-24, 1445.05, 32.03, 6.72, 14.23, -3.71
532790, TANLA       , 1611.15, 2022-04-08, 1321.3, 2022-03-28, 1413.95, 2022-03-24, 1434.35, 38.85, 8.56, 10.97, 1.44
532150, INDRAPRAST  , 71.15, 2022-04-21, 58.45, 2022-03-31, 61.8, 2022-03-24, 68.05, 10.64, 16.42, 4.36, 10.11
524330, JAYANT AGRO , 297.3, 2022-04-21, 200.65, 2022-03-07, 252.75, 2022-03-24, 288.0, 9.89, 43.53, 3.13, 13.95
543270, MTARTECH    , 2031.75, 2022-03-09, 1679.45, 2022-04-20, 1908.9, 2022-03-24, 1690.0, 0.0, 0.63, 16.82, -11.47
526397, ALPHAGEO (I), 350.8, 2022-04-18, 288.65, 2022-02-28, 333.95, 2022-03-24, 339.85, 9.79, 17.74, 3.12, 1.77
543390, POLICYBZR   , 815.65, 2022-04-05, 645.4, 2022-03-02, 719.75, 2022-03-24, 724.95, 0.0, 12.33, 11.12, 0.72
532987, RANE BRAKE  , 718.2, 2022-03-17, 599.3, 2022-03-07, 657.8, 2022-03-24, 627.15, 16.67, 4.65, 12.68, -4.66
506401, DEEPAK NITR., 2361.45, 2022-04-08, 1832.25, 2022-03-07, 2239.95, 2022-03-24, 2238.05, 28.02, 22.15, 5.23, -0.08
504067, ZENSAR TECH., 387.0, 2022-04-05, 314.3, 2022-04-20, 377.6, 2022-03-24, 330.85, 20.02, 5.27, 14.51, -12.38
500101, ARVIND Ltd  , 134.35, 2022-04-18, 104.3, 2022-03-07, 116.4, 2022-03-24, 130.85, 16.4, 25.46, 2.61, 12.41
532466, ORACLE FIN  , 3711.2, 2022-04-07, 3348.1, 2022-03-04, 3635.8, 2022-03-24, 3450.6, 16.0, 3.06, 7.02, -5.09
543232, CAMS        , 2627.1, 2022-04-22, 2312.35, 2022-03-29, 2380.65, 2022-03-24, 2583.9, 46.53, 11.74, 1.64, 8.54
543396, PAYTM       , 798.15, 2022-02-28, 524.4, 2022-03-23, 574.35, 2022-03-24, 608.5, 0.0, 16.04, 23.76, 5.95
532509, SUPRAJIT ENG, 389.1, 2022-04-11, 277.6, 2022-03-07, 329.6, 2022-03-24, 360.0, 27.51, 29.68, 7.48, 9.22
534804, CARERATING  , 568.3, 2022-04-06, 501.35, 2022-03-24, 501.35, 2022-03-24, 549.6, 21.28, 9.62, 3.29, 9.62
500180, HDFC BANK   , 1656.45, 2022-04-04, 1323.7, 2022-03-07, 1442.7, 2022-03-24, 1339.2, 19.61, 1.17, 19.15, -7.17
